,ebpf-samples,cilium,bpf-filter-master,ebpf-ratelimiter-main,bcc,ingress-node-firewall-master,katran,xdp-mptm-main,ebpf-samples_count,cilium_count,bpf-filter-master_count,ebpf-ratelimiter-main_count,bcc_count,ingress-node-firewall-master_count,katran_count,xdp-mptm-main_count
gue_record_route,[],[],[],[],[],[],"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],0,0,0,0,0,0,21,0
gue_encap_v6,[],[],[],[],[],[],"['lwt_seg6local', 'xdp', 'sched_act', 'lwt_out', 'sched_cls', 'lwt_in', 'lwt_xmit']",[],0,0,0,0,0,0,7,0
foo,"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],23,0,0,0,0,0,0,0
tail_nodeport_ipv6_dsr,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
bpf_sockmap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
caller,"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],21,0,0,0,0,0,0,0
__revalidate_data_pull,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ingress_node_firewall_process,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
sock4_pre_bind,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
bpf_xdp_entry,[],"['sched_cls', 'xdp', 'sched_act']",[],[],[],[],[],[],0,3,0,0,0,0,0,0
hash_64,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
hello,[],[],[],[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],0,0,0,0,23,0,0,0
tail_ipv4_policy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_pass,[],[],[],[],[],[],[],['xdp'],0,0,0,0,0,0,0,1
bpf_filter,[],[],"['sched_cls', 'sched_act']",[],[],[],[],[],0,0,2,0,0,0,0,0
__fswab16,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ct_delete4,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ipv4_l4_csum,[],[],[],[],[],[],"['lwt_seg6local', 'xdp', 'sched_act', 'lwt_out', 'sched_cls', 'lwt_in', 'lwt_xmit']",[],0,0,0,0,0,0,7,0
balancer_ingress,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
