,bpf-filter-master,cilium,ebpf-ratelimiter-main,katran,ingress-node-firewall-master,bcc,xdp-mptm-main,ebpf-samples,bpf-filter-master_count,cilium_count,ebpf-ratelimiter-main_count,katran_count,ingress-node-firewall-master_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
sk_release,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/proxy.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/proxy.h']",[],[],[],[],[],[],0,3,0,0,0,0,0,0
send_signal,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/signal.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/signal.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/signal.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h']",[],[],[],[],[],[],0,7,0,0,0,0,0,0
bpf_perf_event_output,[],[],[],['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_helpers.h'],['/home/sayandes/ebpf-projects-annotations/projects/ingress-node-firewall-master/original_source/bpf/ingress_node_firewall_kernel.c'],[],[],[],0,0,0,1,1,0,0,0
map_lookup_elem,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/l3.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/ipv4.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/encap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/encap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_overlay.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/metrics.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_overlay.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/custom/bytecount.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/edt.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']",[],[],[],[],[],[],0,72,0,0,0,0,0,0
bpf_trace_printk,['/home/palani/github/ebpf-projects-annotations/examples/bpf-filter-master/ebpf/drop.c'],[],[],[],[],"['/home/palani/github/ebpf-projects-annotations/examples/bcc/urandomread.c', '/home/palani/github/ebpf-projects-annotations/examples/bcc/trace_fields.c', '/home/palani/github/ebpf-projects-annotations/examples/bcc/hello_fields.c', '/home/palani/github/ebpf-projects-annotations/examples/bcc/kvm_hypercall.c', '/home/palani/github/ebpf-projects-annotations/examples/bcc/kvm_hypercall.c', '/home/palani/github/ebpf-projects-annotations/examples/bcc/kvm_hypercall.c']",[],[],1,0,0,0,0,6,0,0
tail_call,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/maps.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/tailcall.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/tailcall.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/l3.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/l3.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c']",[],[],[],[],[],[],0,17,0,0,0,0,0,0
get_smp_processor_id,[],['/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/verifier.h'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
get_cgroup_classid,[],['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
TC_ACT_OK,['/home/palani/github/ebpf-projects-annotations/examples/bpf-filter-master/ebpf/drop.c'],[],"['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']",[],[],[],[],[],1,0,4,0,0,0,0,0
bpf_redirect,[],[],[],"['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_ipip.c']",[],[],"['/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm_extras.c', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c']",[],0,0,0,2,0,0,3,0
