,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bpf-filter-master,cilium,bcc,xdp-mptm-main,ebpf-samples,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bpf-filter-master_count,cilium_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
ingress_node_firewall_statistics_map,[],[],[['/home/sayandes/ebpf-projects-annotations/projects/ingress-node-firewall-master/original_source/bpf/ingress_node_firewall_kernel.c']],[],[],[],[],[],0,0,1,0,0,0,0,0
SRV6_VRF_MAP4,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
SNAT_MAPPING_IPV4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ctl_array,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_helpers.h'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/xdp_pktcntr.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']]",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
cntrs_array,[['/home/palani/github/ebpf-projects-annotations/examples/katran/xdp_pktcntr.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
NODEPORT_NEIGH4,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']]",[],[],[],0,0,0,0,2,0,0,0
map_main,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
NODEPORT_NEIGH6,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']]",[],[],[],0,0,0,0,2,0,0,0
maglev_lut,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']]",[],[],[],0,0,0,0,2,0,0,0
decap_dst,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
LB4_BACKEND_MAP_V2,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
LB6_MAGLEV_MAP_OUTER,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
pckt_srcs,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/pckt_encap.h'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/pckt_encap.h']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
CIDR4_HMAP_NAME,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c']],[],[],[],0,0,0,0,1,0,0,0
bytecount_map,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/custom/bytecount.h']],[],[],[],0,0,0,0,1,0,0,0
array_of_maps,[],[],[],[],[],[],[],[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/map_in_map.c']],0,0,0,0,0,0,0,1
cilium_xdp_scratch,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h']]",[],[],[],0,0,0,0,2,0,0,0
LB6_REVERSE_NAT_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
nolocal_lru_map,[],[],[],[],[],[],[],[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/map_in_map.c']],0,0,0,0,0,0,0,1
CAPTURE6_RULES,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h']],[],[],[],0,0,0,0,1,0,0,0
CIDR6_HMAP_NAME,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c']],[],[],[],0,0,0,0,1,0,0,0
LB6_REVERSE_NAT_SK_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c']]",[],[],[],0,0,0,0,2,0,0,0
map_fd,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
server_id_map,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/pckt_parsing.h'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
hc_pckt_macs,[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
global_lru_maps,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
