,ebpf-samples,bcc,katran,bpf-filter-master,ingress-node-firewall-master,xdp-mptm-main,cilium,ebpf-ratelimiter-main,ebpf-samples_count,bcc_count,katran_count,bpf-filter-master_count,ingress-node-firewall-master_count,xdp-mptm-main_count,cilium_count,ebpf-ratelimiter-main_count
gue_encap_v6,[],[],['pckt_srcs'],[],[],[],[],[],0,0,1,0,0,0,0,0
ct4_cilium_dbg_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_rev_nodeport_lb6,[],[],[],[],[],[],"['LB6_REVERSE_NAT_MAP', 'NODEPORT_NEIGH6', 'cilium_capture_cache', 'map', 'cilium_xdp_scratch']",[],0,0,0,0,0,0,5,0
sock4_connect,[],[],[],[],[],[],"['LB4_SERVICES_MAP_V2', 'LB_AFFINITY_MATCH_MAP', 'LB4_HEALTH_MAP', 'LB4_BACKEND_MAP_V2', 'map']",[],0,0,0,0,0,0,5,0
sock4_getpeername,[],[],[],[],[],[],"['LB4_SERVICES_MAP_V2', 'map']",[],0,0,0,0,0,0,2,0
handle_policy,[],[],[],[],[],[],['cilium_xdp_scratch'],[],0,0,0,0,0,0,1,0
send_signal,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
l4_csum_replace,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_from_netdev,[],[],[],[],[],[],"['CAPTURE6_RULES', 'maglev_lut', 'LB4_SERVICES_MAP_V2', 'ENDPOINTS_MAP', 'TUNNEL_MAP', 'CAPTURE4_RULES', 'LB_AFFINITY_MATCH_MAP', 'LB4_MAGLEV_MAP_OUTER', 'ENCRYPT_MAP', 'LB4_BACKEND_MAP_V2', 'cilium_capture_cache', 'map', 'LB4_SRC_RANGE_MAP', 'cilium_xdp_scratch', 'VTEP_MAP']",[],0,0,0,0,0,0,15,0
__fswab16,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_val,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_post_bind,[],[],[],[],[],[],"['LB4_SERVICES_MAP_V2', 'map']",[],0,0,0,0,0,0,2,0
tail_nodeport_ipv6_dsr,[],[],[],[],[],[],"['cilium_xdp_scratch', 'cilium_capture_cache']",[],0,0,0,0,0,0,2,0
bpf_sockmap,[],[],[],[],[],[],"['LB4_SERVICES_MAP_V2', 'ENDPOINTS_MAP', 'map', 'EP_POLICY_MAP']",[],0,0,0,0,0,0,4,0
to_host,[],[],[],[],[],[],"['cilium_xdp_scratch', 'map']",[],0,0,0,0,0,0,2,0
