,cilium,ebpf-samples,xdp-mptm-main,katran,bcc,ebpf-ratelimiter-main,bpf-filter-master,ingress-node-firewall-master,cilium_count,ebpf-samples_count,xdp-mptm-main_count,katran_count,bcc_count,ebpf-ratelimiter-main_count,bpf-filter-master_count,ingress-node-firewall-master_count
ipv6_extract_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
pktcntr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__be64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_redirect,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_lb_ipv6,"['LB6_AFFINITY_MAP', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'NODEPORT_NEIGH6']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
hash_64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_recvmsg,"['LB4_REVERSE_NAT_SK_MAP', 'METRICS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
__revalidate_data_pull,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_be64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
combine_ports,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
read_write_packet_start,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv4_to_endpoint,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
ct_delete6,['map'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
__bpf_no_builtin_memcpy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_getpeername,"['LB4_REVERSE_NAT_SK_MAP', 'LB6_REVERSE_NAT_SK_MAP', 'METRICS_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
tail_nodeport_ipv6_dsr,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_nodeport_nat_ipv6,"['map', 'METRICS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
jhash_1word,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahw32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_cont,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_icmp6_send_echo_reply,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
reallocate_invalidates,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memset,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
test_repro,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ct_delete4,['map'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
test_packet_access,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_load_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv6_to_endpoint,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_handle_ipv6_from_netdev,"['LB6_AFFINITY_MAP', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'NODEPORT_NEIGH6']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
assign_socket,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
submit_event,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahb32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_ipv4_dsr,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_rev_nodeport_lb4,"['METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
func,[],['map'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
handle_lxc_traffic,"['METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
tail_ipv6_policy,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
sock4_sendmsg,"['LB4_REVERSE_NAT_SK_MAP', 'METRICS_MAP', 'LB4_AFFINITY_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
ct4_cilium_dbg_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_from_host,"['NODEPORT_NEIGH4', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'LB4_AFFINITY_MAP']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
__le32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswab16,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
l3_csum_replace,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_recvmsg,"['LB4_REVERSE_NAT_SK_MAP', 'LB6_REVERSE_NAT_SK_MAP', 'METRICS_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
__cpu_to_be32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
TRACEPOINT_PROBE,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
foo,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_sendmsg,"['METRICS_MAP', 'LB4_AFFINITY_MAP', 'LB6_AFFINITY_MAP', 'LB4_REVERSE_NAT_SK_MAP', 'LB6_REVERSE_NAT_SK_MAP']",[],[],[],[],[],[],[],5,0,0,0,0,0,0,0
__cpu_to_le32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab64s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_host,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
sock4_pre_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_policy_egress,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
mptm_encap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_icmp6_send_time_exceeded,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab16s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_tail_call_static,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ingress_node_firewall_process,[],[],[],[],[],[],[],['ingress_node_firewall_statistics_map'],0,0,0,0,0,0,0,1
handle_to_container,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_ipv4_policy,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
caller,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_cont,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_handle_ipv6_from_host,"['LB6_AFFINITY_MAP', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'NODEPORT_NEIGH6']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
xdp_root,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
rol32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_addr_is_mapped,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_be16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_overlay,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
hc_encap_ipip,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_lb_ipv4,"['NODEPORT_NEIGH4', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'LB4_AFFINITY_MAP']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
bpf_redir_proxy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv4_host_policy_ingress,"['METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
balancer_ingress,[],[],[],['lru_map'],[],[],[],[],0,0,0,1,0,0,0,0
csum_diff,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
callee,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_nat_fwd_ipv4,"['map', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
ipv6_addr_in_net,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_val,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
