,xdp-mptm-main,bcc,ingress-node-firewall-master,ebpf-ratelimiter-main,bpf-filter-master,cilium,katran,ebpf-samples,xdp-mptm-main_count,bcc_count,ingress-node-firewall-master_count,ebpf-ratelimiter-main_count,bpf-filter-master_count,cilium_count,katran_count,ebpf-samples_count
tail_rev_nodeport_lb4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ct_delete4,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
xdp_prog_simple,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
__bpf_no_builtin_memset,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
test_repro,[],[],[],[],[],[],[],"['sched_act', 'cgroup_sysctl', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'cgroup_device', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",0,0,0,0,0,0,0,23
balancer_ingress,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
mptm_redirect,['xdp'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_nodeport_nat_ipv6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahw32s,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_ipv6_to_endpoint,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
