,bcc,xdp-mptm-main,bpf-filter-master,cilium,ebpf-ratelimiter-main,ingress-node-firewall-master,katran,ebpf-samples,bcc_count,xdp-mptm-main_count,bpf-filter-master_count,cilium_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,katran_count,ebpf-samples_count
sock6_sendmsg,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
hc_encap_gue,[],[],[],[],[],[],['bpf_map_lookup_elem'],[],0,0,0,0,0,0,1,0
__le16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_xdp_entry,[],[],[],"['map_lookup_elem', 'tail_call', 'CTX_ACT_OK']",[],[],[],[],0,0,0,3,0,0,0,0
hello,['bpf_trace_printk'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
xdp_val,[],[],[],[],[],[],"['XDP_PASS', 'bpf_tail_call']",[],0,0,0,0,0,0,2,0
sock4_sendmsg,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
tail_handle_arp,[],[],[],"['CTX_ACT_OK', 'XDP_TX', 'map_lookup_elem', 'redirect', 'map_update_elem']",[],[],[],[],0,0,0,5,0,0,0,0
xdp_prog_simple,[],[],[],[],[],[],"['bpf_map_update_elem', 'bpf_get_smp_processor_id', 'bpf_csum_diff', 'XDP_TX', 'XDP_PASS', 'bpf_ktime_get_ns', 'bpf_map_lookup_elem', 'XDP_DROP', 'bpf_tail_call']",[],0,0,0,0,0,0,9,0
tail_handle_ipv6_from_host,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'map_delete_elem', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'TC_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
test_packet_access,[],[],[],[],[],[],[],['get_prandom_u32'],0,0,0,0,0,0,0,1
handle_policy_egress,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call']",[],[],[],[],0,0,0,3,0,0,0,0
sock6_post_bind,[],[],[],"['map_lookup_elem', 'get_cgroup_classid']",[],[],[],[],0,0,0,2,0,0,0,0
