,bpf-filter-master,ebpf-samples,xdp-mptm-main,bcc,cilium,ebpf-ratelimiter-main,ingress-node-firewall-master,katran,bpf-filter-master_count,ebpf-samples_count,xdp-mptm-main_count,bcc_count,cilium_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,katran_count
rol32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memset,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_ipv6_dsr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_connect,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_reply,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_icmp6_send_time_exceeded,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_l4_csum,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
callee,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_xgress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahb32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_host,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
hash_64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_cont,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__swab16s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hc_encap_gue,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_nat_fwd_ipv6,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__cpu_to_le32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
test_packet_access,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_post_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_load_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_arp,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv6_host_policy_ingress,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
pktcntr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
